"confidence","candidate_score","issue","source","source_line","original_target","suggested_target","resolved_target","requested_anchor","target_file","link_text","candidate_anchor","candidate_label","candidate_type","candidate_line","anchor_count","reasons","second_candidate","second_score"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","983","upgrades-phase-6.md#Phase6Step1BenchmarkPerf","","markdown/release-notes/upgrades-phase-6.md#Phase6Step1BenchmarkPerf","Phase6Step1BenchmarkPerf","markdown/release-notes/upgrades-phase-6.md","44","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1003","upgrades-phase-6.md#Phase6Step2PerfDashboard","","markdown/release-notes/upgrades-phase-6.md#Phase6Step2PerfDashboard","Phase6Step2PerfDashboard","markdown/release-notes/upgrades-phase-6.md","45","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1023","upgrades-phase-6.md#Phase6Step3FunctionalTesting","","markdown/release-notes/upgrades-phase-6.md#Phase6Step3FunctionalTesting","Phase6Step3FunctionalTesting","markdown/release-notes/upgrades-phase-6.md","46","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1047","upgrades-phase-7.md#Phase7Step1ScheduleUpgrade","","markdown/release-notes/upgrades-phase-7.md#Phase7Step1ScheduleUpgrade","Phase7Step1ScheduleUpgrade","markdown/release-notes/upgrades-phase-7.md","47","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1067","upgrades-phase-7.md#Phase7Step2RequestEntitlement","","markdown/release-notes/upgrades-phase-7.md#Phase7Step2RequestEntitlement","Phase7Step2RequestEntitlement","markdown/release-notes/upgrades-phase-7.md","48","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1087","upgrades-phase-7.md#Phase7Step3VerifyUpgrade","","markdown/release-notes/upgrades-phase-7.md#Phase7Step3VerifyUpgrade","Phase7Step3VerifyUpgrade","markdown/release-notes/upgrades-phase-7.md","49","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1107","upgrades-phase-7.md#Phase7Step4UpdateSets","","markdown/release-notes/upgrades-phase-7.md#Phase7Step4UpdateSets","Phase7Step4UpdateSets","markdown/release-notes/upgrades-phase-7.md","50","","","","","4","","before-you-begin","0"
"none","0","missing target anchor","markdown/release-notes/upgrades-planning-checklist.md","1127","upgrades-phase-7.md#Phase7Step5ValidateTest","","markdown/release-notes/upgrades-phase-7.md#Phase7Step5ValidateTest","Phase7Step5ValidateTest","markdown/release-notes/upgrades-phase-7.md","51","","","","","4","","before-you-begin","0"
"low","65","missing target anchor","markdown/security-management/domain-separation-and-mitre-att-ck.md","26","domain-separation-and-mitre-att-ck.md#section_svm_dry_y4b","domain-separation-and-mitre-att-ck.md#replicate-taxii-collection","markdown/security-management/domain-separation-and-mitre-att-ck.md#section_svm_dry_y4b","section_svm_dry_y4b","markdown/security-management/domain-separation-and-mitre-att-ck.md","TAXII Collections","replicate-taxii-collection","Replicate TAXII Collection","h2","40","4","link/candidate token overlap 0.50","domain-separation-and-mitre-attck","0"
"none","0","missing target anchor","markdown/security-management/it-remediation-workspace/itr-ws-create-remediation-task.md","37","itr-ws-create-remediation-task.md#itr-crt-select-items","","markdown/security-management/it-remediation-workspace/itr-ws-create-remediation-task.md#itr-crt-select-items","itr-crt-select-items","markdown/security-management/it-remediation-workspace/itr-ws-create-remediation-task.md","Selected items","","","","","5","","before-you-begin","0"
